YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2013,40,486,0,0,2,1,0,2,0,1.03
2013,41,510,0,0,0,1,0,0,0,0.2
2013,42,541,0,0,0,1,1,0,0,0.37
2013,43,569,0,0,0,1,0,0,0,0.18
2013,44,580,0,0,3,1,2,0,0,1.03
2013,45,638,0,0,0,6,3,2,0,1.72
2013,46,649,0,0,1,1,3,4,0,1.39
2013,47,673,0,0,0,2,3,1,0,0.89
2013,48,629,0,0,1,11,7,2,0,3.34
2013,49,829,0,0,2,21,8,10,0,4.95
2013,50,843,0,0,2,54,20,4,0,9.49
2013,51,949,0,0,1,68,55,2,0,13.28
2013,52,1181,0,0,4,154,96,3,0,21.76
2014,1,1326,0,0,2,156,106,2,0,20.06
2014,2,1510,0,0,5,160,113,0,0,18.41
2014,3,1439,0,0,3,167,145,2,0,22.03
2014,4,1559,0,0,5,166,202,7,0,24.37
2014,5,1518,0,0,9,153,118,8,0,18.97
2014,6,1328,0,0,18,118,113,15,0,19.88
2014,7,1243,0,0,10,94,106,27,0,19.07
2014,8,1080,0,0,6,45,64,21,0,12.59
2014,9,1046,0,0,12,42,59,44,0,15.01
2014,10,951,0,0,5,29,28,60,0,12.83
2014,11,1018,0,0,15,28,30,100,0,16.99
2014,12,1035,0,0,18,16,35,126,0,18.84
2014,13,1169,0,0,26,13,42,170,0,21.47
2014,14,1153,0,0,51,7,42,184,0,24.63
2014,15,1172,0,0,51,8,30,174,0,22.44
2014,16,1075,0,0,49,3,22,143,0,20.19
2014,17,903,0,0,31,3,26,79,0,15.39
2014,18,741,0,0,22,2,15,47,0,11.61
2014,19,690,0,0,14,0,8,42,0,9.28
2014,20,631,0,0,11,0,11,28,0,7.92
2014,21,557,0,0,5,1,6,8,0,3.59
2014,22,512,0,0,1,2,1,5,0,1.76
2014,23,446,0,0,3,0,0,1,0,0.9
2014,24,443,0,0,0,0,1,1,0,0.45
2014,25,364,0,0,0,1,0,0,0,0.27
2014,26,378,0,0,1,0,0,0,0,0.26
2014,27,387,0,0,1,0,0,0,0,0.26
2014,28,368,0,0,1,2,0,0,0,0.82
2014,29,340,0,0,2,0,0,0,0,0.59
2014,30,357,0,0,0,0,0,0,0,0
2014,31,322,0,0,0,1,1,0,0,0.62
2014,32,255,0,0,0,0,0,0,0,0
2014,33,302,0,0,2,0,0,0,0,0.66
2014,34,267,0,0,1,1,0,0,0,0.75
2014,35,290,0,0,1,0,0,0,0,0.34
2014,36,308,0,0,2,1,1,0,0,1.3
2014,37,337,0,0,0,0,1,0,0,0.3
2014,38,469,0,0,1,0,0,0,0,0.21
2014,39,555,0,0,2,0,0,2,0,0.72
