YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2007,40,2382,17,0,2,0,20,5,0,1.84719
2007,41,2534,19,0,3,0,22,0,0,1.73639
2007,42,2953,16,0,2,0,28,2,0,1.62547
2007,43,3179,16,0,2,0,27,5,0,1.57282
2007,44,3575,10,0,0,0,53,11,0,2.06993
2007,45,3797,17,0,10,0,47,11,0,2.23861
2007,46,4131,24,0,6,0,55,2,0,2.10603
2007,47,4040,35,0,2,0,90,13,0,3.46535
2007,48,4855,49,0,12,0,86,14,0,3.31617
2007,49,4909,35,0,10,0,113,22,0,3.66673
2007,50,5157,50,0,22,0,117,26,0,4.16909
2007,51,5877,68,0,28,0,167,51,0,5.34286
2007,52,6269,77,0,26,0,259,86,0,7.14628
2008,1,6829,98,0,61,0,318,107,0,8.55176
2008,2,7383,166,0,145,0,529,163,0,13.5853
2008,3,7814,196,0,205,0,703,209,0,16.8032
2008,4,9474,210,0,385,0,1215,342,0,22.7148
2008,5,13459,243,0,627,0,2301,660,0,28.4642
2008,6,15342,265,0,841,0,2835,930,0,31.7494
2008,7,15171,202,0,837,0,2703,1085,0,31.8173
2008,8,17359,189,0,975,0,2730,1383,0,30.3992
2008,9,16097,121,0,823,0,2095,1412,0,27.6511
2008,10,15181,73,0,630,0,1505,1387,0,23.6809
2008,11,11648,69,0,484,0,916,1095,0,22.0124
2008,12,9498,43,0,395,0,596,903,0,20.3938
2008,13,7800,13,0,178,0,419,777,0,17.7821
2008,14,6183,12,0,110,0,266,511,0,14.5399
2008,15,5285,6,0,56,0,144,416,0,11.7692
2008,16,4103,0,0,32,0,83,234,0,8.50597
2008,17,3556,5,0,11,0,44,131,0,5.3712
2008,18,2724,1,0,9,0,37,79,0,4.62555
2008,19,2539,0,0,10,0,12,43,0,2.56006
2008,20,2414,0,0,4,0,14,20,0,1.57415
2008,21,2115,1,0,4,0,9,15,0,1.37116
2008,22,1927,0,0,2,0,7,10,0,0.985989
2008,23,1850,0,0,1,0,11,5,0,0.918919
2008,24,1502,0,0,0,0,5,7,0,0.798935
2008,25,1467,0,0,2,0,3,2,0,0.477164
2008,26,1325,0,0,0,0,0,6,0,0.45283
2008,27,1203,0,0,0,0,1,3,0,0.332502
2008,28,1269,1,0,1,0,0,4,0,0.472813
2008,29,1203,0,0,0,0,2,2,0,0.332502
2008,30,1163,1,0,5,0,4,0,0,0.859845
2008,31,1125,0,0,1,0,2,4,0,0.622222
2008,32,1102,1,0,0,0,5,1,0,0.635209
2008,33,1053,0,0,0,0,0,1,0,0.0949668
2008,34,1090,1,0,1,0,1,3,0,0.550459
2008,35,1271,0,0,0,0,2,3,0,0.393391
2008,36,1336,1,0,0,0,5,0,0,0.449102
2008,37,1562,0,0,2,0,7,2,0,0.704225
2008,38,1886,3,0,3,0,11,3,0,1.06045
2008,39,2009,2,0,0,0,8,2,0,0.597312
