YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
1999,40,1687,0,0,11,0,7,0,0,1.06698
1999,41,1883,0,0,10,0,9,1,0,1.06213
1999,42,2097,0,0,18,0,26,3,0,2.2413
1999,43,2162,0,0,31,0,26,0,0,2.63645
1999,44,2454,0,0,60,0,34,2,0,3.91198
1999,45,2576,0,0,82,0,66,0,0,5.74534
1999,46,2862,0,0,137,0,94,0,0,8.07128
1999,47,2709,0,0,131,0,154,1,0,10.5574
1999,48,3845,0,0,207,0,320,0,0,13.7061
1999,49,4422,2,0,189,0,653,1,0,19.109
1999,50,5597,1,0,284,0,1017,4,0,23.3339
1999,51,5575,2,0,341,0,1382,1,0,30.9596
1999,52,7323,3,0,376,0,1768,4,0,29.3732
2000,1,8423,2,0,378,0,1722,1,0,24.9674
2000,2,7722,0,0,464,0,1179,2,0,21.3028
2000,3,6242,2,0,302,0,737,3,0,16.7254
2000,4,5482,3,0,244,0,443,5,0,12.6779
2000,5,4550,10,0,153,0,321,1,0,10.6593
2000,6,4059,7,0,126,0,275,4,0,10.1503
2000,7,3523,10,0,69,0,178,6,0,7.46523
2000,8,3142,18,0,41,0,132,9,0,6.36537
2000,9,2698,9,0,26,0,60,5,0,3.70645
2000,10,2195,22,0,18,0,29,6,0,3.41686
2000,11,1960,19,0,7,0,22,5,0,2.70408
2000,12,1879,13,0,1,0,16,3,0,1.75625
2000,13,1708,7,0,3,0,8,3,0,1.22951
2000,14,1506,6,0,1,0,8,4,0,1.26162
2000,15,1294,9,0,0,0,8,5,0,1.70015
2000,16,1212,3,0,5,0,10,5,0,1.89769
2000,17,1108,3,0,0,0,9,4,0,1.44404
2000,18,1061,2,0,0,0,2,6,0,0.942507
2000,19,947,0,0,0,0,1,1,0,0.211193
2000,20,865,0,0,0,0,0,2,0,0.231214
2000,21,772,2,0,0,0,2,2,0,0.777202
2000,22,620,1,0,0,0,2,0,0,0.483871
2000,23,666,0,0,0,0,1,2,0,0.45045
2000,24,680,0,0,0,0,0,1,0,0.147059
2000,25,565,0,0,0,0,0,0,0,0
2000,26,551,0,0,0,0,0,1,0,0.181488
2000,27,26,0,0,0,0,0,0,0,0
2000,28,41,0,0,0,0,0,0,0,0
2000,29,28,0,0,0,0,0,0,0,0
2000,30,5,0,0,0,0,0,0,0,0
2000,31,1,0,0,0,0,0,0,0,0
2000,32,0,0,0,0,0,0,0,0,0
2000,33,0,0,0,0,0,0,0,0,0
2000,34,0,0,0,0,0,0,0,0,0
2000,35,0,0,0,0,0,0,0,0,0
2000,36,0,0,0,0,0,0,0,0,0
2000,37,0,0,0,0,0,0,0,0,0
2000,38,0,0,0,0,0,0,0,0,0
2000,39,0,0,0,0,0,0,0,0,0
